ProductID,Name,Color,Size,ListPrice
771,"Mountain-100 Silver, 38","Silver","38",3399.9900
772,"Mountain-100 Silver, 42","Silver","42",3399.9900
773,"Mountain-100 Silver, 44","Silver","44",3399.9900
774,"Mountain-100 Silver, 48","Silver","48",3399.9900
775,"Mountain-100 Black, 38","Black","38",3374.9900
776,"Mountain-100 Black, 42","Black","42",3374.9900
777,"Mountain-100 Black, 44","Black","44",3374.9900
778,"Mountain-100 Black, 48","Black","48",3374.9900
779,"Mountain-200 Silver, 38","Silver","38",2319.9900
780,"Mountain-200 Silver, 42","Silver","42",2319.9900
781,"Mountain-200 Silver, 46","Silver","46",2319.9900
782,"Mountain-200 Black, 38","Black","38",2294.9900
783,"Mountain-200 Black, 42","Black","42",2294.9900
784,"Mountain-200 Black, 46","Black","46",2294.9900
785,"Mountain-300 Black, 38","Black","38",1079.9900
786,"Mountain-300 Black, 40","Black","40",1079.9900
787,"Mountain-300 Black, 44","Black","44",1079.9900
788,"Mountain-300 Black, 48","Black","48",1079.9900
980,"Mountain-400-W Silver, 38","Silver","38",769.4900
981,"Mountain-400-W Silver, 40","Silver","40",769.4900
982,"Mountain-400-W Silver, 42","Silver","42",769.4900
983,"Mountain-400-W Silver, 46","Silver","46",769.4900
984,"Mountain-500 Silver, 40","Silver","40",564.9900
985,"Mountain-500 Silver, 42","Silver","42",564.9900
986,"Mountain-500 Silver, 44","Silver","44",564.9900
987,"Mountain-500 Silver, 48","Silver","48",564.9900
988,"Mountain-500 Silver, 52","Silver","52",564.9900
989,"Mountain-500 Black, 40","Black","40",539.9900
990,"Mountain-500 Black, 42","Black","42",539.9900
991,"Mountain-500 Black, 44","Black","44",539.9900
992,"Mountain-500 Black, 48","Black","48",539.9900
993,"Mountain-500 Black, 52","Black","52",539.9900
